query_uid,query_title,result_uid,result_title,cosine_score,query_group,result_group,manual_label,reviewer_note
WOS:001129852800002,"The effect of occupational therapy on anxiety, depression, and psychological well-being in older adults: a single-blind randomized-controlled study",WOS:001182798400001,"Multitask Learning for Mental Health: Depression, Anxiety, Stress (DAS) Using Wearables",0.636116,different_mental_health,different_mental_health,,
WOS:001129852800002,"The effect of occupational therapy on anxiety, depression, and psychological well-being in older adults: a single-blind randomized-controlled study",WOS:001142171500001,"Biological Markers in Newly Diagnosed Generalized Anxiety Disorder Patients: 8-OHdG, S100B and Oxidative Stress",0.581224,different_mental_health,different_mental_health,,
WOS:001129852800002,"The effect of occupational therapy on anxiety, depression, and psychological well-being in older adults: a single-blind randomized-controlled study",WOS:001163480800004,"Effects of a Mindfulness-Based Stress Reduction Program on Stress, Depression, and Psychological Well-being in Patients With Cancer",0.575840,different_mental_health,different_mental_health,,
WOS:001129852800002,"The effect of occupational therapy on anxiety, depression, and psychological well-being in older adults: a single-blind randomized-controlled study",WOS:001154920600001,Effect of online health training/counseling and progressive muscle relaxation exercise on postpartum depression and maternal attachment: A randomized controlled trial,0.531037,different_mental_health,different_mental_health,,
WOS:001129852800002,"The effect of occupational therapy on anxiety, depression, and psychological well-being in older adults: a single-blind randomized-controlled study",WOS:001148762500002,Exploring adult attachment and anxiety: the role of intolerance of uncertainty and social support,0.519797,different_mental_health,different_mental_health,,
WOS:001131514500001,Magnetic-biased chiral molecules enabling highly oriented photovoltaic perovskites,WOS:001158980200001,"Synergistic Effects of Energy Level Alignment and Trap Passivation via 3,4-Dihydroxyphenethylamine Hydrochloride for Efficient and Air-Stable Perovskite Solar Cells",0.739669,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001131514500001,Magnetic-biased chiral molecules enabling highly oriented photovoltaic perovskites,WOS:001191208900001,Molecularly Engineered Multifunctional Bridging Layer Derived from Dithiafulavene Capped Spiroxanthene for Stable and Efficient Perovskite Solar Cells,0.724093,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001131514500001,Magnetic-biased chiral molecules enabling highly oriented photovoltaic perovskites,WOS:001143809700001,Constructing Charge Bridge Path for High-Performance Tin Perovskite Photovoltaics,0.716029,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001131514500001,Magnetic-biased chiral molecules enabling highly oriented photovoltaic perovskites,WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,0.715556,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001131514500001,Magnetic-biased chiral molecules enabling highly oriented photovoltaic perovskites,WOS:001167231700001,Incorporation Mechanism of Potassium in FAPbI<sub>3</sub> Perovskite Solar Cell Materials,0.692588,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,WOS:001158980200001,"Synergistic Effects of Energy Level Alignment and Trap Passivation via 3,4-Dihydroxyphenethylamine Hydrochloride for Efficient and Air-Stable Perovskite Solar Cells",0.816264,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,WOS:001191208900001,Molecularly Engineered Multifunctional Bridging Layer Derived from Dithiafulavene Capped Spiroxanthene for Stable and Efficient Perovskite Solar Cells,0.777110,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,WOS:001167231700001,Incorporation Mechanism of Potassium in FAPbI<sub>3</sub> Perovskite Solar Cell Materials,0.776720,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,WOS:001173733800001,Ion-Migration Inhibitor for Spiro-OMeTAD/Perovskite Contact toward Stable Perovskite Solar Cells,0.757365,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,WOS:001178378200001,"Molecular modification of spiro[fluorene-9,9′-xanthene]-based dopant-free hole transporting materials for perovskite solar cells",0.727099,same_topic_perovskite_solar_cells,same_topic_perovskite_solar_cells,,
WOS:001140575800001,Understanding the role of water in the lyotropic liquid crystalline mesophase of high-performance flexible supercapacitor electrolytes using a rheological approach,WOS:001143201300001,Incorporating Gadolinium Oxide (Gd<sub>2</sub>O<sub>3</sub>) as a Rare Earth Metal Oxide in Carbon Nanofiber Skeleton for Supercapacitor Application,0.736388,related_energy_technologies,related_energy_technologies,,
WOS:001140575800001,Understanding the role of water in the lyotropic liquid crystalline mesophase of high-performance flexible supercapacitor electrolytes using a rheological approach,WOS:001144493500001,Crystallinity tuning of LCNO/graphene nanocomposite cathode for high-performance lithium-ion batteries,0.707897,related_energy_technologies,related_energy_technologies,,
WOS:001140575800001,Understanding the role of water in the lyotropic liquid crystalline mesophase of high-performance flexible supercapacitor electrolytes using a rheological approach,WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,0.633946,related_energy_technologies,same_topic_perovskite_solar_cells,,
WOS:001140575800001,Understanding the role of water in the lyotropic liquid crystalline mesophase of high-performance flexible supercapacitor electrolytes using a rheological approach,WOS:001163332000001,Gellan gum/PEDOT:PSS gel electrolyte and application on quasi-solid dye sensitized solar cells,0.631084,related_energy_technologies,related_energy_technologies,,
WOS:001140575800001,Understanding the role of water in the lyotropic liquid crystalline mesophase of high-performance flexible supercapacitor electrolytes using a rheological approach,WOS:001191208900001,Molecularly Engineered Multifunctional Bridging Layer Derived from Dithiafulavene Capped Spiroxanthene for Stable and Efficient Perovskite Solar Cells,0.611159,related_energy_technologies,same_topic_perovskite_solar_cells,,
WOS:001142171500001,"Biological Markers in Newly Diagnosed Generalized Anxiety Disorder Patients: 8-OHdG, S100B and Oxidative Stress",WOS:001182798400001,"Multitask Learning for Mental Health: Depression, Anxiety, Stress (DAS) Using Wearables",0.679302,different_mental_health,different_mental_health,,
WOS:001142171500001,"Biological Markers in Newly Diagnosed Generalized Anxiety Disorder Patients: 8-OHdG, S100B and Oxidative Stress",WOS:001163480800004,"Effects of a Mindfulness-Based Stress Reduction Program on Stress, Depression, and Psychological Well-being in Patients With Cancer",0.612975,different_mental_health,different_mental_health,,
WOS:001142171500001,"Biological Markers in Newly Diagnosed Generalized Anxiety Disorder Patients: 8-OHdG, S100B and Oxidative Stress",WOS:001129852800002,"The effect of occupational therapy on anxiety, depression, and psychological well-being in older adults: a single-blind randomized-controlled study",0.581224,different_mental_health,different_mental_health,,
WOS:001142171500001,"Biological Markers in Newly Diagnosed Generalized Anxiety Disorder Patients: 8-OHdG, S100B and Oxidative Stress",WOS:001143201300001,Incorporating Gadolinium Oxide (Gd<sub>2</sub>O<sub>3</sub>) as a Rare Earth Metal Oxide in Carbon Nanofiber Skeleton for Supercapacitor Application,0.577392,different_mental_health,related_energy_technologies,,
WOS:001142171500001,"Biological Markers in Newly Diagnosed Generalized Anxiety Disorder Patients: 8-OHdG, S100B and Oxidative Stress",WOS:001148762500002,Exploring adult attachment and anxiety: the role of intolerance of uncertainty and social support,0.558840,different_mental_health,different_mental_health,,
WOS:001143201300001,Incorporating Gadolinium Oxide (Gd<sub>2</sub>O<sub>3</sub>) as a Rare Earth Metal Oxide in Carbon Nanofiber Skeleton for Supercapacitor Application,WOS:001144493500001,Crystallinity tuning of LCNO/graphene nanocomposite cathode for high-performance lithium-ion batteries,0.741379,related_energy_technologies,related_energy_technologies,,
WOS:001143201300001,Incorporating Gadolinium Oxide (Gd<sub>2</sub>O<sub>3</sub>) as a Rare Earth Metal Oxide in Carbon Nanofiber Skeleton for Supercapacitor Application,WOS:001140575800001,Understanding the role of water in the lyotropic liquid crystalline mesophase of high-performance flexible supercapacitor electrolytes using a rheological approach,0.736388,related_energy_technologies,related_energy_technologies,,
WOS:001143201300001,Incorporating Gadolinium Oxide (Gd<sub>2</sub>O<sub>3</sub>) as a Rare Earth Metal Oxide in Carbon Nanofiber Skeleton for Supercapacitor Application,WOS:001168109200001,High-performance Na-ion full-cells with P2-type Na<sub>0.67</sub>Mn<sub>0.5-x</sub>Ni<sub>x</sub>Fe<sub>0.43</sub>Al<sub>0.07</sub>O<sub>2</sub> cathodes: Cost analysis for stationary battery storage systems,0.666865,related_energy_technologies,related_energy_technologies,,
